""．"",""補助記号"",""."",""known""
""/"",""補助記号"",""/"",""known""
""一"",""名詞"",""1"",""known""
""三"",""名詞"",""3"",""known""
""五"",""名詞"",""5"",""known""
""七"",""名詞"",""7"",""known""
""："",""補助記号"","":"",""known""
""ＡＴＭ"",""名詞"",""ＡＴＭ"",""known""
""ＣＤ"",""名詞"",""ＣＤ"",""known""
""［"",""補助記号"",""["",""known""
""］"",""補助記号"",""]"",""known""
""　"",""空白"",""　"",""known""
""ざっ"",""副詞"",""ざ"",""known""
""ごっ"",""副詞"",""ご"",""known""
""びっ"",""副詞"",""び"",""known""
""九"",""名詞"",""九"",""known""
""九"",""名詞"",""９"",""known""
""九"",""名詞"",""く"",""known""
""五"",""名詞"",""五"",""known""
""五"",""名詞"",""５"",""known""
""二"",""名詞"",""二"",""known""
""二"",""名詞"",""２"",""known""
""二"",""名詞"",""②"",""known""
""六"",""名詞"",""６"",""known""
""八"",""名詞"",""８"",""known""
""六"",""名詞"",""六"",""known""
""八"",""名詞"",""八"",""known""
""三"",""名詞"",""三"",""known""
""三"",""名詞"",""３"",""known""
""四"",""名詞"",""四"",""known""
""零"",""名詞"",""０"",""known""
""五"",""名詞"",""五"",""known""
""五"",""名詞"",""５"",""known""
""七"",""名詞"",""七"",""known""
""七"",""名詞"",""７"",""known""
""七"",""名詞"",""７"",""known""
""七"",""名詞"",""七"",""known""
""七"",""名詞"",""７"",""known""
""二"",""名詞"",""２"",""known""
""三"",""名詞"",""三"",""known""
""三"",""名詞"",""３"",""known""
""四"",""名詞"",""四"",""known""
""四"",""名詞"",""４"",""known""
""万"",""名詞"",""万"",""known""
""何"",""名詞"",""何"",""known""
""一"",""名詞"",""一"",""known""
""一"",""名詞"",""一"",""known""
""一"",""名詞"",""１"",""known""
""一"",""名詞"",""１"",""known""
""一"",""名詞"",""①"",""known""
""六"",""名詞"",""六"",""known""
""六"",""名詞"",""六"",""known""
""六"",""名詞"",""６"",""known""
""四"",""名詞"",""四"",""known""
""四"",""名詞"",""４"",""known""
""一"",""名詞"",""一"",""known""
""一"",""名詞"",""１"",""known""
""千"",""名詞"",""千"",""known""
""二"",""名詞"",""二"",""known""
""二"",""名詞"",""２"",""known""
""八"",""名詞"",""八"",""known""
""八"",""名詞"",""八"",""known""
""八"",""名詞"",""８"",""known""
""九"",""名詞"",""九"",""known""
""九"",""名詞"",""９"",""known""
""十"",""名詞"",""十"",""known""
""十"",""名詞"",""十"",""known""
""九"",""名詞"",""九"",""known""
""九"",""名詞"",""９"",""known""
""百"",""名詞"",""百"",""known""
""言う"",""動詞"",""ゆ"",""known""
""出る"",""動詞"",""で"",""known""
""出る"",""動詞"",""出"",""known""
""ね"",""助詞"",""ね"",""known""
""と"",""助詞"",""と"",""known""
""よ"",""助詞"",""よ"",""known""
""よ"",""助詞"",""ょ"",""known""
""も"",""助詞"",""も"",""known""
""が"",""助詞"",""が"",""known""
""で"",""助詞"",""で"",""known""
""や"",""助詞"",""や"",""known""
""を"",""助詞"",""を"",""known""
""は"",""助詞"",""は"",""known""
""さ"",""助詞"",""さ"",""known""
""な"",""助詞"",""な"",""known""
""の"",""助詞"",""ん"",""known""
""か"",""助詞"",""か"",""known""
""か"",""助詞"",""か"",""known""
""せ"",""助詞"",""せ"",""known""
""に"",""助詞"",""に"",""known""
""の"",""助詞"",""の"",""known""
""へ"",""助詞"",""へ"",""known""
""い"",""助詞"",""い"",""known""
""つ"",""助詞"",""つ"",""known""
""て"",""助詞"",""て"",""known""
""て"",""助詞"",""で"",""known""
""が"",""助詞"",""が"",""known""
""の"",""助詞"",""の"",""known""
""の"",""助詞"",""ん"",""known""
""ば"",""助詞"",""ば"",""known""
""と"",""助詞"",""と"",""known""
""背"",""名詞"",""せ"",""known""
""目"",""名詞"",""目"",""known""
""語"",""名詞"",""語"",""known""
""字"",""名詞"",""字"",""known""
""気"",""名詞"",""気"",""known""
""木"",""名詞"",""木"",""known""
""家"",""名詞"",""ち"",""known""
""駅"",""名詞"",""駅"",""known""
""山"",""名詞"",""山"",""known""
""右"",""名詞"",""右"",""known""
""北"",""名詞"",""北"",""known""
""水"",""名詞"",""水"",""known""
""西"",""名詞"",""西"",""known""
""下"",""名詞"",""下"",""known""
""半"",""名詞"",""半"",""known""
""円"",""名詞"",""円"",""known""
""母"",""名詞"",""母"",""known""
""雨"",""名詞"",""雨"",""known""
""外"",""名詞"",""外"",""known""
""父"",""名詞"",""父"",""known""
""耳"",""名詞"",""耳"",""known""
""音"",""名詞"",""音"",""known""
""家"",""名詞"",""家"",""known""
""犬"",""名詞"",""犬"",""known""
""肉"",""名詞"",""肉"",""known""
""町"",""名詞"",""町"",""known""
""足"",""名詞"",""足"",""known""
""金"",""名詞"",""金"",""known""
""茶"",""名詞"",""茶"",""known""
""人"",""名詞"",""人"",""known""
""本"",""名詞"",""本"",""known""
""川"",""名詞"",""川"",""known""
""花"",""名詞"",""花"",""known""
""県"",""名詞"",""県"",""known""
""口"",""名詞"",""口"",""known""
""東"",""名詞"",""東"",""known""
""南"",""名詞"",""南"",""known""
""体"",""名詞"",""体"",""known""
""左"",""名詞"",""左"",""known""
""車"",""名詞"",""車"",""known""
""魚"",""名詞"",""魚"",""known""
""日"",""名詞"",""日"",""known""
