""．"",""補助記号"",""."",""known""
""/"",""補助記号"",""/"",""known""
""一"",""名詞"",""1"",""known""
""二"",""名詞"",""2"",""known""
""三"",""名詞"",""3"",""known""
""四"",""名詞"",""4"",""known""
""五"",""名詞"",""5"",""known""
""七"",""名詞"",""7"",""known""
""："",""補助記号"","":"",""known""
""ＡＴＭ"",""名詞"",""ＡＴＭ"",""known""
""ＣＤ"",""名詞"",""ＣＤ"",""known""
""ＩＴ"",""名詞"",""ＩＴ"",""known""
""［"",""補助記号"",""["",""known""
""］"",""補助記号"",""]"",""known""
""‾"",""補助記号"",""~"",""known""
""　"",""空白"",""　"",""known""
""ざっ"",""副詞"",""ざ"",""known""
""そう"",""副詞"",""そ"",""known""
""ごっ"",""副詞"",""ご"",""known""
""びっ"",""副詞"",""び"",""known""
""まあ"",""副詞"",""ま"",""known""
""九"",""名詞"",""九"",""known""
""九"",""名詞"",""９"",""known""
""九"",""名詞"",""く"",""known""
""五"",""名詞"",""五"",""known""
""五"",""名詞"",""５"",""known""
""二"",""名詞"",""二"",""known""
""二"",""名詞"",""２"",""known""
""二"",""名詞"",""②"",""known""
""六"",""名詞"",""６"",""known""
""八"",""名詞"",""８"",""known""
""六"",""名詞"",""六"",""known""
""八"",""名詞"",""八"",""known""
""三"",""名詞"",""三"",""known""
""三"",""名詞"",""３"",""known""
""四"",""名詞"",""四"",""known""
""零"",""名詞"",""０"",""known""
""五"",""名詞"",""五"",""known""
""五"",""名詞"",""５"",""known""
""七"",""名詞"",""七"",""known""
""七"",""名詞"",""７"",""known""
""七"",""名詞"",""７"",""known""
""七"",""名詞"",""七"",""known""
""七"",""名詞"",""７"",""known""
""二"",""名詞"",""２"",""known""
""三"",""名詞"",""三"",""known""
""三"",""名詞"",""３"",""known""
""四"",""名詞"",""四"",""known""
""四"",""名詞"",""４"",""known""
""万"",""名詞"",""万"",""known""
""何"",""名詞"",""何"",""known""
""億"",""名詞"",""億"",""known""
""一"",""名詞"",""一"",""known""
""一"",""名詞"",""一"",""known""
""一"",""名詞"",""１"",""known""
""一"",""名詞"",""１"",""known""
""一"",""名詞"",""①"",""known""
""六"",""名詞"",""六"",""known""
""六"",""名詞"",""六"",""known""
""六"",""名詞"",""６"",""known""
""四"",""名詞"",""四"",""known""
""四"",""名詞"",""４"",""known""
""一"",""名詞"",""一"",""known""
""一"",""名詞"",""１"",""known""
""千"",""名詞"",""千"",""known""
""二"",""名詞"",""二"",""known""
""二"",""名詞"",""２"",""known""
""八"",""名詞"",""八"",""known""
""八"",""名詞"",""八"",""known""
""八"",""名詞"",""８"",""known""
""九"",""名詞"",""九"",""known""
""九"",""名詞"",""９"",""known""
""十"",""名詞"",""十"",""known""
""十"",""名詞"",""十"",""known""
""九"",""名詞"",""九"",""known""
""九"",""名詞"",""９"",""known""
""百"",""名詞"",""百"",""known""
""言う"",""動詞"",""ゆ"",""known""
""着る"",""動詞"",""着"",""known""
""似る"",""動詞"",""似"",""known""
""寝る"",""動詞"",""寝"",""known""
""出る"",""動詞"",""で"",""known""
""出る"",""動詞"",""出"",""known""
""出る"",""動詞"",""出"",""known""
""ね"",""助詞"",""ね"",""known""
""と"",""助詞"",""と"",""known""
""よ"",""助詞"",""よ"",""known""
""よ"",""助詞"",""ょ"",""known""
""も"",""助詞"",""も"",""known""
""が"",""助詞"",""が"",""known""
""で"",""助詞"",""で"",""known""
""や"",""助詞"",""や"",""known""
""を"",""助詞"",""を"",""known""
""は"",""助詞"",""は"",""known""
""さ"",""助詞"",""さ"",""known""
""な"",""助詞"",""な"",""known""
""の"",""助詞"",""ん"",""known""
""の"",""助詞"",""の"",""known""
""か"",""助詞"",""か"",""known""
""か"",""助詞"",""か"",""known""
""せ"",""助詞"",""せ"",""known""
""に"",""助詞"",""に"",""known""
""の"",""助詞"",""の"",""known""
""へ"",""助詞"",""へ"",""known""
""い"",""助詞"",""い"",""known""
""つ"",""助詞"",""つ"",""known""
""べい"",""助詞"",""べ"",""known""
""て"",""助詞"",""て"",""known""
""て"",""助詞"",""で"",""known""
""が"",""助詞"",""が"",""known""
""し"",""助詞"",""し"",""known""
""の"",""助詞"",""の"",""known""
""の"",""助詞"",""ん"",""known""
""ば"",""助詞"",""ば"",""known""
""と"",""助詞"",""と"",""known""
""市"",""名詞"",""市"",""known""
""都"",""名詞"",""都"",""known""
""背"",""名詞"",""せ"",""known""
""血"",""名詞"",""血"",""known""
""胃"",""名詞"",""胃"",""known""
""目"",""名詞"",""目"",""known""
""区"",""名詞"",""区"",""known""
""語"",""名詞"",""語"",""known""
""字"",""名詞"",""字"",""known""
""地"",""名詞"",""地"",""known""
""絵"",""名詞"",""絵"",""known""
""気"",""名詞"",""気"",""known""
""葉"",""名詞"",""葉"",""known""
""子"",""名詞"",""子"",""known""
""木"",""名詞"",""木"",""known""
""木"",""名詞"",""ぎ"",""known""
""歯"",""名詞"",""歯"",""known""
""火"",""名詞"",""火"",""known""
""府"",""名詞"",""府"",""known""
""家"",""名詞"",""ち"",""known""
""駅"",""名詞"",""駅"",""known""
""山"",""名詞"",""山"",""known""
""礼"",""名詞"",""礼"",""known""
""右"",""名詞"",""右"",""known""
""北"",""名詞"",""北"",""known""
""式"",""名詞"",""式"",""known""
""水"",""名詞"",""水"",""known""
